created_date,status,segmento,comision_actual,logistic_type,store_type,barrio,category,cooking_time,tiene_otra_app,brand_id,store_id
2025-08-19T14:22:27.006Z,active,Microstores,42.0,3P,New brand,CENTRO,Sándwiches,15 min,Sí,11679.0,106372
2025-08-19T14:18:29.900Z,active,Microstores,42.0,3P,New brand,CENTRO,Sándwiches,15 min,Sí,11679.0,103327
2025-08-19T14:14:29.927Z,active,Microstores,42.0,3P,New brand,CENTRO,Sándwiches,15 min,Sí,11679.0,106643
2025-08-19T14:08:39.894Z,active,Microstores,42.0,3P,New brand,CENTRO,Sándwiches,15 min,Sí,11679.0,108106
2025-08-19T14:07:05.901Z,active,Microstores,42.0,3P,New brand,VILLA LUGANO,Helado,15 min,Sí,11358.0,111739
2025-08-19T13:58:26.930Z,active,Microstores,43.5,3P,New brand,ALBERDI,Empanadas,25 min,Sí,14136.0,102016
2025-08-19T13:52:24.924Z,active,Microstores,42.0,3P,New brand,CENTRO,Ensaladas,20 min,Sí,12737.0,115175
2025-08-19T13:48:42.920Z,active,Microstores,42.0,3P,New brand,SAN NICOLÁS,Hamburguesa,5 min,No,11527.0,100136
2025-08-19T13:42:33.905Z,active,Microstores,42.0,3P,New brand,LA PLATA,Pizza,20 min,Sí,10991.0,109405
2025-08-19T13:39:42.908Z,active,Microstores,46.5,3P,New brand,LINIERS,Helado,15 min,Sí,10170.0,109448
2025-08-19T13:34:35.876Z,active,Microstores,39.0,3P,New brand,VILLA CRESPO,Hamburguesa,20 min,No,12984.0,111048
2025-08-19T13:28:14.898Z,active,Microstores,42.0,3P,New brand,ALTO ALBERDI,Empanadas,25 min,Sí,14694.0,109389
2025-08-19T13:24:16.920Z,active,Microstores,42.0,3P,New brand,ALTO ALBERDI,Empanadas,15 min,Sí,11400.0,102283
2025-08-19T13:18:35.920Z,active,Microstores,45.0,3P,New brand,BOULOGNE SUR MER,Empanadas,45 min,Sí,11911.0,113590
2025-08-19T13:17:29.918Z,active,Microstores,46.5,3P,New brand,CABALLITO,Pizza,30 min,Sí,14660.0,106768
2025-08-19T13:12:54.966Z,active,Microstores,42.0,3P,New brand,CENTRO,Helado,10 min,Sí,11149.0,104795
