YEAR,MONTH,STORE_ID,CUS_CUST_ID,STORE_STAGE_LIFECYCLE,STORE_STAGE_LIFECYCLE_PREV_MONTH,SEGMENTO,STATUS,NEIGHBOURHOOD,LONGITUDE,LATITUDE,LOCATION,CITY,AUD_INS_DTTM,AUD_UPD_DTTM
2022,8,32332780,603350811,Retained,New,LH,active,NUÑEZ,-58.46021579999999,-34.5453292,"-34.5453292, -58.46021579999999",CABA,2025-09-23,2025-09-23
2022,8,32370442,604560696,Retained,New,CA,active,SAAVEDRA,-58.48325029999999,-34.5573124,"-34.5573124, -58.48325029999999",CABA,2025-09-23,2025-09-23
2022,8,32457339,344636108,New,,LH,active,PALERMO,-58.43278879999999,-34.5712433,"-34.5712433, -58.43278879999999",CABA,2025-09-23,2025-09-23
2022,8,32555399,613851221,Retained,New,LT,active,SAAVEDRA,-58.48448399999999,-34.554994,"-34.554994, -58.48448399999999",CABA,2025-09-23,2025-09-23
2022,8,33153928,92744574,Retained,New,LT,active,SAAVEDRA,-58.48001679999999,-34.5428125,"-34.5428125, -58.48001679999999",CABA,2025-09-23,2025-09-23
2022,8,33371824,334227263,Retained,New,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
2022,8,33468413,638428194,Retained,New,LH,active,BELGRANO,-58.45993829999999,-34.5586746,"-34.5586746, -58.45993829999999",CABA,2025-09-23,2025-09-23
2022,8,33543371,642143337,New,,CA,active,PALERMO,-58.43011038650818,-34.58616422447344,"-34.58616422447344, -58.43011038650818",CABA,2025-09-23,2025-09-23
2022,8,34090491,217230789,New,,LH,active,NUÑEZ,-58.4569742,-34.5514312,"-34.5514312, -58.4569742",CABA,2025-09-23,2025-09-23
2022,8,34409365,457565858,Retained,New,LT,active,NUÑEZ,-58.4599257,-34.5449188,"-34.5449188, -58.4599257",CABA,2025-09-23,2025-09-23
2022,8,34525033,659527652,Retained,New,LH,active,SAAVEDRA,-58.4745786,-34.5409724,"-34.5409724, -58.4745786",CABA,2025-09-23,2025-09-23
2022,8,34811189,672063319,Retained,New,LT,active,BELGRANO,-58.4515151,-34.5558828,"-34.5558828, -58.4515151",CABA,2025-09-23,2025-09-23
2022,8,34847962,169557992,Retained,New,LT,active,SAAVEDRA,-58.4905116,-34.5563128,"-34.5563128, -58.4905116",CABA,2025-09-23,2025-09-23
2022,8,35328980,280835654,Retained,New,LH,active,NUÑEZ,-58.46452629999999,-34.5531168,"-34.5531168, -58.46452629999999",CABA,2025-09-23,2025-09-23
2022,8,36249848,426589495,Retained,New,LT,active,PALERMO,-58.4325944,-34.5868846,"-34.5868846, -58.4325944",CABA,2025-09-23,2025-09-23
2022,8,36685867,720044295,New,,LH,active,COLEGIALES,-58.4490698,-34.5776346,"-34.5776346, -58.4490698",CABA,2025-09-23,2025-09-23
2022,8,37941292,495874813,New,,CA,active,PALERMO,-58.4314031,-34.5733699,"-34.5733699, -58.4314031",CABA,2025-09-23,2025-09-23
2022,8,38385716,443905579,Retained,New,CA,active,NUÑEZ,-58.465759903041075,-34.54985914330068,"-34.54985914330068, -58.465759903041075",CABA,2025-09-23,2025-09-23
2022,8,38970340,333949364,Retained,New,CA,active,VICENTE LOPEZ,-58.4678949,-34.5343797,"-34.5343797, -58.4678949",BUENOS AIRES,2025-09-23,2025-09-23
2022,8,40169466,235201299,New,,CA,active,NUÑEZ,-58.47234599999999,-34.5514129,"-34.5514129, -58.47234599999999",CABA,2025-09-23,2025-09-23
2022,8,40294385,762488781,New,,LT,active,COLEGIALES,-58.45613939999999,-34.5735669,"-34.5735669, -58.45613939999999",CABA,2025-09-23,2025-09-23
2022,8,40383877,784457926,Retained,New,CA,active,NUÑEZ,-58.4662246,-34.5397825,"-34.5397825, -58.4662246",CABA,2025-09-23,2025-09-23
2022,8,42176413,688861458,Retained,New,LT,active,NUÑEZ,-58.4642465,-34.5421032,"-34.5421032, -58.4642465",CABA,2025-09-23,2025-09-23
2022,8,42178111,481021227,New,,LT,active,BELGRANO,-58.4568725,-34.5634239,"-34.5634239, -58.4568725",CABA,2025-09-23,2025-09-23
2022,8,42455935,836653553,Retained,New,LT,active,BELGRANO,-58.4586479,-34.5635904,"-34.5635904, -58.4586479",CABA,2025-09-23,2025-09-23
2022,8,42581581,821368416,New,,LH,active,BELGRANO,-58.457536,-34.5665322,"-34.5665322, -58.457536",CABA,2025-09-23,2025-09-23
2022,8,43308250,244303681,Retained,New,CA,active,COGHLAN,-58.4717505,-34.5604217,"-34.5604217, -58.4717505",CABA,2025-09-23,2025-09-23
2022,8,43347543,822421519,Retained,New,LH,active,BELGRANO,-58.4625497,-34.5599354,"-34.5599354, -58.4625497",CABA,2025-09-23,2025-09-23
